#       freq (microHz)    spectrum (ppm2/microHz)   model spectrum (ppm2/microHz)
         883.9805985        0.2238167781           0.1552077
         884.0123086      0.003369783775           0.1552062
         884.0440186       0.09382368281           0.1552047
         884.0757286       0.07050785882           0.1552031
         884.1074387        0.7323610816           0.1552016
         884.1391487        0.3289522861           0.1552001
         884.1708587        0.2645433262           0.1551986
         884.2025688        0.3340651115           0.1551971
         884.2342788       0.04597739739           0.1551955
         884.2659888        0.3492207903            0.155194
         884.2976989        0.0860698317           0.1551925
         884.3294089        0.5485303043            0.155191
         884.3611189       0.02640994081           0.1551895
          884.392829       0.08243619464            0.155188
          884.424539      0.005895446388           0.1551864
          884.456249       0.07779697319           0.1551849
         884.4879591        0.3224069794           0.1551834
         884.5196691        0.1709346483           0.1551819
         884.5513791        0.1272740582           0.1551804
         884.5830892        0.3336651656           0.1551789
         884.6147992         0.236717158           0.1551773
         884.6465092       0.03115652982           0.1551758
         884.6782193         0.453510694           0.1551743
         884.7099293        0.3190424395           0.1551728
         884.7416393       0.02313022616           0.1551713
         884.7733494       0.05257430076           0.1551698
         884.8050594        0.4636987874           0.1551682
         884.8367694        0.2706559772           0.1551667
         884.8684795        0.7965316846           0.1551652
         884.9001895        0.2228869933           0.1551637
         884.9318995       0.07390575043           0.1551622
         884.9636096        0.1041166744           0.1551607
         884.9953196       0.09899491106           0.1551592
         885.0270296       0.07211207022           0.1551576
         885.0587397        0.2270716557           0.1551561
         885.0904497        0.1657780073           0.1551546
         885.1221597        0.2002076735           0.1551531
         885.1538698        0.1908829691           0.1551516
         885.1855798        0.3161888457           0.1551501
         885.2172898        0.1349350134           0.1551486
         885.2489999        0.1292088695            0.155147
         885.2807099        0.1759072091           0.1551455
         885.3124199        0.4433494889            0.155144
           885.34413        0.2245905365           0.1551425
           885.37584       0.08059851846            0.155141
           885.40755        0.0227253604           0.1551395
         885.4392601        0.1315265202            0.155138
         885.4709701        0.2225598827           0.1551365
         885.5026801         0.270884682           0.1551349
         885.5343902       0.06219785306           0.1551334
         885.5661002       0.07627970287           0.1551319
         885.5978102       0.09215112761           0.1551304
         885.6295203        0.2371776686           0.1551289
         885.6612303       0.01496850036           0.1551274
         885.6929403        0.6207452923           0.1551259
         885.7246504       0.03773844732           0.1551244
         885.7563604       0.01555187631           0.1551229
         885.7880704       0.07301968286           0.1551213
         885.8197805       0.04543920558           0.1551198
         885.8514905       0.03552709687           0.1551183
         885.8832005        0.1949856817           0.1551168
         885.9149106       0.07078548473           0.1551153
         885.9466206        0.2505859061           0.1551138
         885.9783306       0.09152541282           0.1551123
         886.0100407       0.02396949635           0.1551108
         886.0417507        0.3283373959           0.1551093
         886.0734607        0.1459674584           0.1551078
         886.1051708        0.2125420079           0.1551062
         886.1368808        0.1950256771           0.1551047
         886.1685908         0.227805562           0.1551032
         886.2003009       0.09413085529           0.1551017
         886.2320109        0.1241873122           0.1551002
         886.2637209        0.3163436597           0.1550987
          886.295431         0.180127529           0.1550972
          886.327141        0.2514611881           0.1550957
          886.358851      0.003684156853           0.1550942
         886.3905611         0.354206875           0.1550927
         886.4222711       0.01200391141           0.1550912
         886.4539811        0.1048293051           0.1550897
         886.4856912        0.8558734941           0.1550882
         886.5174012       0.04392676032           0.1550866
         886.5491112        0.3913219605           0.1550851
         886.5808213       0.03962301848           0.1550836
         886.6125313        0.3850736829           0.1550821
         886.6442413       0.03341314314           0.1550806
         886.6759514         0.169715718           0.1550791
         886.7076614        0.1068936427           0.1550776
         886.7393714        0.5794147948           0.1550761
         886.7710815        0.4099893014           0.1550746
         886.8027915       0.00559170017           0.1550731
         886.8345015       0.05133264907           0.1550716
         886.8662116       0.08153679272           0.1550701
         886.8979216       0.02464506036           0.1550686
         886.9296316        0.1606858034           0.1550671
         886.9613417       0.08788609033           0.1550656
         886.9930517        0.1056317573           0.1550641
         887.0247617         0.179750117           0.1550626
         887.0564718       0.08525427193           0.1550611
         887.0881818       0.01055693742           0.1550596
         887.1198918        0.2834326233            0.155058
         887.1516019         0.249762134           0.1550565
         887.1833119        0.4505001827            0.155055
         887.2150219        0.1883371701           0.1550535
          887.246732     9.928226909e-05            0.155052
          887.278442       0.05150114586           0.1550505
          887.310152      0.008549370434            0.155049
         887.3418621      0.008677001174           0.1550475
         887.3735721        0.1480749178            0.155046
         887.4052821        0.4474262029           0.1550445
         887.4369922       0.04135223604            0.155043
         887.4687022        0.1120421204           0.1550415
         887.5004122        0.1556417355             0.15504
         887.5321223        0.2354844042           0.1550385
         887.5638323       0.01104405535            0.155037
         887.5955423       0.01654001921           0.1550355
         887.6272524        0.1779022213            0.155034
         887.6589624        0.4200195697           0.1550325
         887.6906724        0.1324793023            0.155031
         887.7223825       0.04080176894           0.1550295
         887.7540925        0.1942311131            0.155028
         887.7858025        0.3368487576           0.1550265
         887.8175126        0.2595771387            0.155025
         887.8492226        0.1531692511           0.1550235
         887.8809326        0.4656228591            0.155022
         887.9126427       0.01200529341           0.1550205
         887.9443527       0.07057017165            0.155019
         887.9760627        0.1046855225           0.1550175
         888.0077728        0.3067182267            0.155016
         888.0394828       0.02560282645           0.1550145
         888.0711928        0.3778630234            0.155013
         888.1029029          1.09436732           0.1550115
         888.1346129       0.09630261609             0.15501
         888.1663229        0.2162049161           0.1550085
          888.198033        0.1882293131            0.155007
          888.229743        0.1314141855           0.1550055
          888.261453       0.02244909129            0.155004
         888.2931631        0.1719959046           0.1550025
         888.3248731         0.151672565            0.155001
         888.3565831        0.2490662167           0.1549995
         888.3882932       0.02101946604            0.154998
         888.4200032       0.07586908147           0.1549965
         888.4517132       0.04339586791            0.154995
         888.4834233        0.3691180659           0.1549936
         888.5151333         0.181238147           0.1549921
         888.5468433        0.2057136521           0.1549906
         888.5785534        0.1361714932           0.1549891
         888.6102634       0.02683184278           0.1549876
         888.6419734        0.2242324502           0.1549861
         888.6736835        0.2629323651           0.1549846
         888.7053935       0.00121453484           0.1549831
         888.7371035       0.07943630247           0.1549816
         888.7688136        0.3287190577           0.1549801
         888.8005236        0.2228882102           0.1549786
         888.8322336        0.2819486652           0.1549771
         888.8639437        0.1696794131           0.1549756
         888.8956537       0.02060205828           0.1549741
         888.9273637       0.07887617018           0.1549726
         888.9590738        0.2134480928           0.1549711
         888.9907838        0.2504082203           0.1549696
         889.0224938        0.1249770697           0.1549681
         889.0542039        0.3544912967           0.1549666
         889.0859139       0.05191711636           0.1549651
         889.1176239       0.02746288177           0.1549637
          889.149334        0.4114480861           0.1549622
          889.181044        0.2796454017           0.1549607
          889.212754       0.01122591817           0.1549592
         889.2444641        0.1892826202           0.1549577
         889.2761741      0.009051263211           0.1549562
         889.3078841         0.654707613           0.1549547
         889.3395942        0.3449425887           0.1549532
         889.3713042        0.4681571677           0.1549517
         889.4030142        0.1926701799           0.1549502
         889.4347243        0.1475970027           0.1549487
         889.4664343       0.07837412791           0.1549472
         889.4981443       0.04773728785           0.1549457
         889.5298544        0.3943829395           0.1549443
         889.5615644        0.8318644407           0.1549428
         889.5932744       0.03087478841           0.1549413
         889.6249845        0.1255168585           0.1549398
         889.6566945     0.0003070255346           0.1549383
         889.6884045      0.008869734803           0.1549368
         889.7201146        0.2408671469           0.1549353
         889.7518246        0.1404620012           0.1549338
         889.7835346     0.0008402790731           0.1549323
         889.8152447        0.1455655539           0.1549308
         889.8469547       0.08061729222           0.1549294
         889.8786647        0.3117098504           0.1549279
         889.9103748      0.003655660662           0.1549264
         889.9420848        0.4397589736           0.1549249
         889.9737948      0.003207590844           0.1549234
         890.0055049      0.002993926514           0.1549219
         890.0372149       0.00685756543           0.1549204
         890.0689249       0.06348230933           0.1549189
          890.100635        0.2647470285           0.1549174
          890.132345        0.0977418589            0.154916
          890.164055        0.1956127168           0.1549145
         890.1957651       0.02757342717            0.154913
         890.2274751        0.0323593438           0.1549115
         890.2591851      0.008124995055             0.15491
         890.2908952       0.06159547872           0.1549085
         890.3226052      0.001409678296            0.154907
         890.3543152           0.5626644           0.1549055
         890.3860253       0.04263035583           0.1549041
         890.4177353        0.1236281768           0.1549026
         890.4494453        0.1829066989           0.1549011
         890.4811554         0.508639844           0.1548996
         890.5128654        0.3667049312           0.1548981
         890.5445754        0.1974430399           0.1548966
         890.5762855      0.003942574216           0.1548951
         890.6079955        0.1175684496           0.1548937
         890.6397055        0.1880381878           0.1548922
         890.6714156       0.08610290371           0.1548907
         890.7031256         0.122179716           0.1548892
         890.7348356        0.1262127003           0.1548877
         890.7665457        0.1284832488           0.1548862
         890.7982557        0.1954157703           0.1548847
         890.8299657        0.1272354415           0.1548833
         890.8616758        0.2536587367           0.1548818
         890.8933858      0.008238532851           0.1548803
         890.9250958        0.1034099297           0.1548788
         890.9568059        0.3695283308           0.1548773
         890.9885159       0.07412548965           0.1548758
         891.0202259        0.2709315745           0.1548744
          891.051936         0.154284378           0.1548729
          891.083646        0.6939287544           0.1548714
          891.115356        0.1791222014           0.1548699
         891.1470661        0.1870734129           0.1548684
         891.1787761        0.0333228197           0.1548669
         891.2104861        0.3361376116           0.1548655
         891.2421962       0.08838589438            0.154864
         891.2739062        0.0603552628           0.1548625
         891.3056162       0.08956981193            0.154861
         891.3373263        0.2951446937           0.1548595
         891.3690363        0.1067902094           0.1548581
         891.4007463        0.1113657407           0.1548566
         891.4324564        0.3192746212           0.1548551
         891.4641664       0.01462767378           0.1548536
         891.4958764        0.1500145861           0.1548521
         891.5275865        0.1407838687           0.1548506
         891.5592965        0.1013702525           0.1548492
         891.5910065        0.1595787077           0.1548477
         891.6227166       0.07552970429           0.1548462
         891.6544266        0.1834387289           0.1548447
         891.6861366        0.5094644967           0.1548432
         891.7178467        0.1155177009           0.1548418
         891.7495567        0.1953967871           0.1548403
         891.7812667        0.2031551937           0.1548388
         891.8129768        0.3384825628           0.1548373
         891.8446868       0.08208041918           0.1548358
         891.8763968       0.07371440769           0.1548344
         891.9081069       0.08967591096           0.1548329
         891.9398169       0.01623311803           0.1548314
         891.9715269       0.09149709805           0.1548299
          892.003237        0.2430048697           0.1548285
          892.034947      0.001026229365            0.154827
          892.066657       0.07419713353           0.1548255
         892.0983671        0.1817105633            0.154824
         892.1300771        0.1260340134           0.1548225
         892.1617871        0.1020066851           0.1548211
         892.1934972        0.1713969148           0.1548196
         892.2252072        0.1725066118           0.1548181
         892.2569172        0.1994937212           0.1548166
         892.2886273        0.0277834975           0.1548152
         892.3203373       0.03312507414           0.1548137
         892.3520473      0.001283745217           0.1548122
         892.3837574         0.131765273           0.1548107
         892.4154674       0.01138389895           0.1548092
         892.4471774        0.1749989145           0.1548078
         892.4788875       0.05527692643           0.1548063
         892.5105975       0.09816689316           0.1548048
         892.5423075        0.3181390492           0.1548033
         892.5740176        0.3129929032           0.1548019
         892.6057276       0.03121676318           0.1548004
         892.6374376       0.02695829453           0.1547989
         892.6691477        0.4284030281           0.1547974
